Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Wed Nov 20 2013,10:30 pm,Memphis Grizzlies,88,Golden State Warriors,81,Box Score,OT,19596,
Wed Nov 20 2013,8:00 pm,Portland Trail Blazers,91,Milwaukee Bucks,82,Box Score,,11789,
Wed Nov 20 2013,8:00 pm,Los Angeles Clippers,102,Minnesota Timberwolves,98,Box Score,,13101,
Wed Nov 20 2013,8:00 pm,Utah Jazz,98,New Orleans Pelicans,105,Box Score,,13203,
Wed Nov 20 2013,7:00 pm,Indiana Pacers,103,New York Knicks,96,Box Score,OT,19812,
Wed Nov 20 2013,7:00 pm,Miami Heat,120,Orlando Magic,92,Box Score,,17256,
Wed Nov 20 2013,7:00 pm,Toronto Raptors,108,Philadelphia 76ers,98,Box Score,,10787,
Wed Nov 20 2013,9:00 pm,Sacramento Kings,113,Phoenix Suns,106,Box Score,,12705,
Wed Nov 20 2013,8:30 pm,Boston Celtics,93,San Antonio Spurs,104,Box Score,,18581,
Thu Nov 21 2013,10:30 pm,Chicago Bulls,87,Denver Nuggets,97,Box Score,,18423,
Thu Nov 21 2013,8:00 pm,Los Angeles Clippers,91,Oklahoma City Thunder,105,Box Score,,18203,
Fri Nov 22 2013,7:30 pm,Indiana Pacers,97,Boston Celtics,82,Box Score,,18624,
Fri Nov 22 2013,7:00 pm,Phoenix Suns,98,Charlotte Bobcats,91,Box Score,,14916,
Fri Nov 22 2013,8:30 pm,Utah Jazz,93,Dallas Mavericks,103,Box Score,,19781,
Fri Nov 22 2013,7:30 pm,Atlanta Hawks,96,Detroit Pistons,89,Box Score,,13467,
Fri Nov 22 2013,10:30 pm,Golden State Warriors,95,Los Angeles Lakers,102,Box Score,,18997,
Fri Nov 22 2013,8:00 pm,San Antonio Spurs,102,Memphis Grizzlies,86,Box Score,,17109,
Fri Nov 22 2013,8:00 pm,Brooklyn Nets,81,Minnesota Timberwolves,111,Box Score,,15551,
Fri Nov 22 2013,8:00 pm,Cleveland Cavaliers,100,New Orleans Pelicans,104,Box Score,,15186,
Fri Nov 22 2013,7:00 pm,Milwaukee Bucks,107,Philadelphia 76ers,115,Box Score,OT,13588,
Fri Nov 22 2013,10:00 pm,Chicago Bulls,95,Portland Trail Blazers,98,Box Score,,20618,
Fri Nov 22 2013,7:00 pm,Washington Wizards,88,Toronto Raptors,96,Box Score,,18671,
Sat Nov 23 2013,7:30 pm,Boston Celtics,94,Atlanta Hawks,87,Box Score,,15189,
Sat Nov 23 2013,9:00 pm,Dallas Mavericks,100,Denver Nuggets,102,Box Score,,17841,
Sat Nov 23 2013,10:30 pm,Portland Trail Blazers,113,Golden State Warriors,101,Box Score,,19596,
Sat Nov 23 2013,8:00 pm,Minnesota Timberwolves,101,Houston Rockets,112,Box Score,,18196,
Sat Nov 23 2013,7:00 pm,Philadelphia 76ers,98,Indiana Pacers,106,Box Score,,18165,
Sat Nov 23 2013,3:30 pm,Sacramento Kings,102,Los Angeles Clippers,103,Box Score,,19060,
Sat Nov 23 2013,7:30 pm,Orlando Magic,99,Miami Heat,101,Box Score,,19647,
Sat Nov 23 2013,8:30 pm,Charlotte Bobcats,96,Milwaukee Bucks,72,Box Score,,14871,
Sat Nov 23 2013,8:30 pm,Cleveland Cavaliers,96,San Antonio Spurs,126,Box Score,,18581,
Sat Nov 23 2013,7:00 pm,New York Knicks,89,Washington Wizards,98,Box Score,,18089,
Sun Nov 24 2013,2:00 pm,Detroit Pistons,109,Brooklyn Nets,97,Box Score,,17732,
Sun Nov 24 2013,3:30 pm,Chicago Bulls,82,Los Angeles Clippers,121,Box Score,,19245,
Sun Nov 24 2013,9:30 pm,Sacramento Kings,86,Los Angeles Lakers,100,Box Score,,18997,
Sun Nov 24 2013,7:00 pm,Utah Jazz,73,Oklahoma City Thunder,95,Box Score,,18203,
